,Caution
13508,None
13509,"Nintedanib can cause birth defects or death in an unborn a baby. Avoid getting pregnant while you are using this medicine and for at least 3 months after your last dose. Use effective birth control, with an extra barrier method (condom, diaphragm, cervical cap, contraceptive sponge)."
13510,"Nipent can cause harmful side effects on your kidneys, liver, lungs, or central nervous system. Call your doctor at once if you have symptoms such as: swelling, rapid weight gain, little or no urinating, pink or red urine, severe shortness of breath, wheezing, chest pain, cough, vision problems, numbness, tingling, or burning pain."
13511,You should not receive  Niphanoid if you are allergic to Niphanoid or any other type of numbing medicine.
13512,None
13513,"Stop taking  niraparib and call your doctor at once if you have fever, frequent infections, weakness, tiredness, shortness of breath, weight loss, blood in your urine or stools, easy bruising or bleeding. These may be symptoms of bone marrow disorder and may lead to death."
13514,None
13515,None
13516,None
13517,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13518,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13519,None
13520,None
13521,None
13522,None
13523,None
13524,"If possible before you receive Nithiodote, tell your caregivers if you have anemia, low blood pressure, or heart disease."
13525,"Call your doctor at once if you have vision problems, eye pain, eye redness or burning, easy bruising, unusual bleeding, itching, or jaundice (yellowing of the skin or eyes). Tell your doctor if your baby has a sudden change in behavior, ability, or development (sitting up, crawling, walking, talking, etc)."
13526,None
13527,None
13528,None
13529,None
13530,None
13531,None
13532,None
13533,"To best participate in the care of your baby during treatment with  nitric oxide, carefully follow all instructions provided by your baby's caregivers."
13534,None
13535,None
13536,You should not use  Nitro-Bid if you are also using medicine to treat pulmonary arterial hypertension or erectile dysfunction.
13537,None
13538,None
13539,None
13540,None
13541,None
13542,None
13543,None
13544,None
13545,"You should not use this medicine if you are allergic to any type of adhesive on a bandage or other transdermal skin patch, or if you are using medicine to treat pulmonary arterial hypertension, such as riociguat."
13546,None
13547,None
13548,None
13549,None
13550,None
13551,None
13552,None
13553,None
13554,None
13555,None
13556,None
13557,None
13558,None
13559,None
13560,None
13561,None
13562,None
13563,None
13564,None
13565,You should not use  nitroglycerin if you are also using medicine to treat pulmonary arterial hypertension or erectile dysfunction.
13566,"You should not use  nitroglycerin if you are also using medicine to treat pulmonary arterial hypertension or erectile dysfunction, or if you have severe anemia (a lack of red blood cells), or increased pressure inside your skull."
13567,None
13568,None
13569,None
13570,None
13571,None
13572,None
13573,None
13574,You should not use  nitroglycerin if you are also using medicine to treat pulmonary arterial hypertension or erectile dysfunction.
13575,"You should not use this medicine if you are allergic to any type of adhesive on a bandage or other transdermal skin patch, or if you are using medicine to treat pulmonary arterial hypertension, such as riociguat."
13576,None
13577,You should not use this medicine if you are also using medicine to treat pulmonary arterial hypertension or erectile dysfunction.
13578,None
13579,None
13580,None
13581,None
13582,"You should not receive this medication if you are allergic to Nitropress, or if you have hereditary vision loss (Leber's disease), vision problems caused by smoking, or a history of blood clot in your brain."
13583,"You should not receive this medication if you are allergic to nitroprusside, or if you have hereditary vision loss (Leber's disease), vision problems caused by smoking, or a history of blood clot in your brain."
13584,None
13585,"You should not use Nitrostat if you are also using medicine to treat pulmonary arterial hypertension (PAH). Do not take erectile dysfunction medicine (Viagra, Cialis, Levitra and others) while you are taking Nitrostat."
13586,None
13587,"You should not use this medicine if you are allergic to any type of adhesive on a bandage or other transdermal skin patch, or if you are using medicine to treat pulmonary arterial hypertension, such as riociguat."
13588,None
13589,None
13590,None
13591,None
13592,None
13593,"Call your doctor at once if you have vision problems, eye pain, eye redness or burning, easy bruising, unusual bleeding, itching, or jaundice (yellowing of the skin or eyes). Tell your doctor if your baby has a sudden change in behavior, ability, or development (sitting up, crawling, walking, talking, etc)."
13594,None
13595,None
13596,None
13597,None
13598,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13599,Nivestym can cause your spleen to become enlarged and it could rupture (tear). Call your doctor right away if you have sudden or severe pain in your left upper stomach spreading up to your shoulder.
13600,None
13601,"Nivolumab can cause side effects in many different parts of your body. Some side effects may need to be treated with other medicine, and your cancer treatments may be delayed."
13602,None
13603,None
13604,None
13605,None
13606,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13607,None
13608,None
13609,None
13610,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13611,None
13612,None
13613,None
13614,Nizoral should be used only when you cannot use other antifungal medications. Ketoconazole can cause serious harm to your liver that may result in liver transplant or cause death.
13615,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13616,None
13617,None
13618,None
13619,None
13620,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13621,None
13622,None
13623,None
13624,None
13625,"Limit your intake of water and other fluids. Drinking too much water can cause your body to lose sodium, which may lead to a life-threatening electrolyte imbalance."
13626,None
13627,None
13628,None
13629,None
13630,"Do not use this medicine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, and tranylcypromine."
13631,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
13632,"Do not use  NoHist LQ if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
13633,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13634,None
13635,None
13636,None
13637,None
13638,"Do not take more of this medication than is recommended. An overdose of acetaminophen can damage your liver or cause death. Call your doctor at once if you have nausea, pain in your upper stomach, itching, loss of appetite, dark urine, clay-colored stools, or jaundice (yellowing of your skin or eyes)."
13639,None
13640,None
13641,None
13642,None
13643,None
13644,None
13645,None
13646,"You should not use this medicine if you you have: undiagnosed vaginal bleeding, breast cancer, liver disease, or a liver tumor. You may not be able to take Nora-Be if you have ever had a heart attack, a stroke, or blood clot."
13647,None
13648,None
13649,None
13650,None
13651,None
13652,"You should not use Norditropin FlexPro Pen if you have cancer, diabetic retinopathy, or if you are being treated for Prader-Willi syndrome and you are overweight or have severe breathing problems. You should not use this medicine if you have a serious illness due to lung failure or complications from recent surgery, injury, or medical trauma."
13653,None
13654,None
13655,"Tell your caregivers at once if you have a serious side effect such as a cold feeling anywhere in your body, blue lips or fingernails, trouble breathing, little or no urination, irritation or skin changes where the medicine was injected, slow heart rate, sudden numbness or weakness, severe headache, or problems with vision, speech, or balance."
13656,None
13657,"You should not use this medicine if you you have: undiagnosed vaginal bleeding, breast cancer, liver disease, or a liver tumor. You may not be able to take norethindrone if you have ever had a heart attack, a stroke, or blood clot."
13658,None
13659,None
13660,None
13661,None
13662,None
13663,None
13664,"You should not take  Norflex if you have urination problems, an enlarged prostate, glaucoma, a stomach ulcer or blockage in your digestive tract, trouble swallowing, or myasthenia gravis."
13665,None
13666,None
13667,None
13668,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13669,None
13670,None
13671,None
13672,Do not use birth control pills if you are pregnant or if you have recently had a baby.
13673,None
13674,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13675,None
13676,None
13677,None
13678,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13679,None
13680,None
13681,None
13682,None
13683,None
13684,None
13685,None
13686,None
13687,None
13688,None
13689,None
13690,None
13691,None
13692,"You should not use Norpace if you have long QT syndrome, or a serious heart condition such as ""AV block"" (unless you have a pacemaker)."
13693,"You should not use Norpace CR if you have long QT syndrome, or a serious heart condition such as ""AV block"" (unless you have a pacemaker)."
13694,None
13695,None
13696,None
13697,None
13698,None
13699,None
13700,None
13701,You should not use nortriptyline if you recently had a heart attack.
13702,None
13703,None
13704,None
13705,None
13706,Serious drug interactions can occur when certain medicines are used with Norvir. Tell your doctor about all your current medicines and any you start or stop using.
13707,None
13708,None
13709,None
13710,None
13711,None
13712,None
13713,None
13714,Nostrilla (for the nose) is used for temporary relief of nasal congestion caused by allergies or the common cold.
13715,None
13716,None
13717,None
13718,None
13719,None
13720,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13721,None
13722,None
13723,"You should not take NovaFerrum 50 if you have hemochromatosis, hemosiderosis, or hemolytic anemia."
13724,"You should not take NovaFerrum Pediatric if you have hemochromatosis, hemosiderosis, or hemolytic anemia."
13725,None
13726,None
13727,None
13728,None
13729,None
13730,None
13731,None
13732,None
13733,None
13734,None
13735,None
13736,"Novantrone may cause dangerous effects on your heart. Call your doctor at once if you have chest pain, fast or pounding heartbeats, shortness of breath (even with mild exertion), swelling, or rapid weight gain."
13737,None
13738,None
13739,None
13740,"Novarel is given as an injection under the skin or into a muscle. If you use  Novarel at home, your doctor, nurse, or pharmacist will give you specific instructions on how and where to inject this medicine. Do not self-inject this medicine if you do not fully understand how to give the injection and properly dispose of used needles and syringes."
13741,None
13742,None
13743,None
13744,None
13745,None
13746,None
13747,None
13748,You should not use this medicine if you have ever had a severe allergic reaction to Novoeight in the past.
13749,None
13750,None
13751,None
13752,None
13753,You should not use  Novolin 70/30 if you are having an episode of low blood sugar.
13754,None
13755,None
13756,You should not use  Novolin N if you are having an episode of low blood sugar.
13757,None
13758,None
13759,You should not use insulin if you are having an episode of hypoglycemia (low blood sugar).
13760,None
13761,"Never share an injection pen, cartridge, or syringe with another person, even if the needle has been changed."
13762,None
13763,"Never share an injection pen or syringe with another person, even if the needle has been changed."
13764,"Never share an injection pen or syringe with another person, even if the needle has been changed."
13765,None
13766,None
13767,"Never share an injection pen, cartridge, or syringe with another person, even if the needle has been changed."
13768,None
13769,None
13770,None
13771,None
13772,None
13773,"If possible before you receive NovoSeven RT with MixPro, tell your doctor about all your medical conditions and allergies. Also make sure your doctor knows if you are pregnant or breast-feeding."
13774,None
13775,None
13776,None
13777,None
13778,"You should not use Noxafil together with: atorvastatin, lovastatin, simvastatin, pimozide, quinidine, sirolimus, or an ergot medicine (dihydroergotamine, ergotamine, ergonovine, or methylergonovine)."
13779,None
13780,None
13781,None
13782,None
13783,None
13784,None
13785,None
13786,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13787,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13788,None
13789,"MISUSE OF  Nubain CAN CAUSE ADDICTION, OVERDOSE, OR DEATH."
13790,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13791,None
13792,None
13793,None
13794,None
13795,None
13796,"Codeine can slow or stop your breathing, and may be habit-forming. MISUSE OF THIS MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH, especially in a child or other person using the medicine without a prescription."
13797,None
13798,None
13799,None
13800,"Do not use Nucynta if you have used a MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
13801,"MISUSE OF OPIOID MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep the medication in a place where others cannot get to it."
13802,None
13803,None
13804,None
13805,None
13806,None
13807,None
13808,None
13809,None
13810,None
13811,None
13812,None
13813,None
13814,"You should not use Nuedexta if you have heart failure, a serious heart condition called ""AV block"" (unless you have a pacemaker), or a history of Long QT syndrome or life-threatening heart rhythm disorder."
13815,None
13816,None
13817,None
13818,"You should not take Nu-Iron 150 if you have hemochromatosis, hemosiderosis, or hemolytic anemia."
13819,None
13820,None
13821,None
13822,None
13823,"You should not use Nulojix if you have received a liver transplant. Before you start treatment, your doctor will perform tests to make sure you are immune to Epstein-Barr virus (EBV-positive). Your risk of serious infection is higher if you have never been exposed to EBV."
13824,None
13825,"Do not use  NuLYTELY with Flavor Packs if you have a perforated bowel, a bowel obstruction or severe constipation, or colitis or toxic megacolon. NuLYTELY with Flavor Packs can cause dangerous or life-threatening side effects in people with these conditions."
13826,"Do not use  NuLYTELY Orange if you have a perforated bowel, a bowel obstruction or severe constipation, or colitis or toxic megacolon. NuLYTELY Orange can cause dangerous or life-threatening side effects in people with these conditions."
13827,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13828,None
13829,There are many brands and forms of saliva substitutes available. Not all brands are listed on this leaflet. Follow all directions on your medicine label and package.
13830,None
13831,None
13832,None
13833,None
13834,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13835,None
13836,Nuplazid is not approved for use in older adults with dementia-related psychosis.
13837,None
13838,None
13839,None
13840,None
13841,Do not take more of  Nuprin Backache than recommended on the label. An overdose of magnesium salicylate can be fatal.
13842,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13843,None
13844,None
13845,None
13846,None
13847,None
13848,None
13849,Call your doctor for instructions if you miss an appointment for your nusinersen injection.
13850,None
13851,None
13852,None
13853,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13854,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13855,None
13856,None
13857,None
13858,None
13859,None
13860,None
13861,None
13862,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13863,None
13864,None
13865,None
13866,None
13867,None
13868,None
13869,None
13870,None
13871,None
13872,None
13873,None
13874,None
13875,None
13876,"You should not use Nutropin AQ NuSpin 10 if you have cancer, diabetic retinopathy, or if you are being treated for Prader-Willi syndrome and you are overweight or have severe breathing problems. You should not use this medicine if you have a serious illness due to lung failure or complications from recent surgery, injury, or medical trauma."
13877,None
13878,None
13879,None
13880,None
13881,None
13882,None
13883,None
13884,Do not use a NuvaRing if you are pregnant or if you have recently had a baby.
13885,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13886,None
13887,None
13888,None
13889,None
13890,You should not use this medicine if you have ever had a severe allergic reaction to Nuwiq in the past.
13891,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13892,None
13893,None
13894,None
13895,None
13896,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13897,None
13898,None
13899,None
13900,None
13901,Do not use Nyamyc to treat any skin condition that has not been checked by your doctor.
13902,None
13903,None
13904,None
13905,None
13906,None
13907,None
13908,"Tell your doctor about all your current medicines and any you start or stop using. Many drugs can interact, and some drugs should not be used together."
13909,None
13910,None
13911,None
13912,"Do not use this medicine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, and tranylcypromine."
13913,"Do not use this medicine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, phenelzine, rasagiline, selegiline, and tranylcypromine."
13914,"Do not use  NyQuil Cough if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
13915,"Do not use this medicine if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
13916,None
13917,"Do not use this medicine if you have taken an MAO inhibitor in the past 14 days. A dangerous drug interaction could occur. MAO inhibitors include isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, and tranylcypromine."
13918,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13919,None
13920,None
13921,None
13922,None
13923,None
13924,None
13925,None
13926,None
13927,None
13928,Do not use nystatin topical to treat any skin condition that has not been checked by your doctor.
13929,None
13930,None
13931,None
13932,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13933,None
13934,None
13935,Do not use Nystop to treat any skin condition that has not been checked by your doctor.
13936,None
13937,None
13938,None
13939,"Use  Nytol QuickCaps exactly as directed. Taking too much Nytol QuickCaps can lead to serious heart problems, seizures, coma, or death."
13940,None
13941,None
13942,None
13943,None
13944,None
13945,None
13946,None
13947,None
13948,None
13949,None
13950,None
13951,None
13952,"To determine a safe dose for you, your doctor will check your liver function. Take the medicine exactly as directed."
13953,None
13954,None
13955,None
13956,"If you've ever had hepatitis B, using obinutuzumab can cause this virus to become active or get worse. Tell your doctor if you don't feel well and you have right-sided upper stomach pain, vomiting, loss of appetite, or yellowing of your skin or eyes."
13957,None
13958,None
13959,None
13960,None
13961,None
13962,None
13963,"To determine a safe dose for you, your doctor will check your liver function. Take Ocaliva exactly as directed."
13964,None
13965,None
13966,None
13967,None
13968,None
13969,None
13970,Follow all directions on the product label and package. Ask a doctor or pharmacist if you have questions.
13971,None
13972,None
13973,Do not use if you are pregnant or if you recently had a baby.
13974,"Some side effects may occur during the injection or up to 24 hours later. Tell your caregiver if you feel dizzy, nauseated, itchy, or have chest tightness, trouble breathing, or swelling in your throat."
13975,None
13976,None
13977,None
13978,None
13979,"Call your doctor at once if you have eye pain or redness, changes in vision, or if your eyes are more sensitive to light."
13980,None
13981,None
13982,None
13983,None
13984,None
13985,None
13986,None
13987,None
13988,None
13989,None
13990,None
13991,None
13992,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
13993,Avoid touching your eye until the numbing effects of  Ocu-Caine have worn off completely.
13994,None
13995,None
13996,None
13997,None
13998,None
13999,None
14000,None
14001,You should not use this medication if you are allergic to flurbiprofen.
14002,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14003,None
14004,You should not use an ocular lubricant to treat or prevent an eye infection.
14005,None
14006,None
14007,None
14008,None
14009,None
14010,"Do not use this medication if you are allergic to carteolol, or if you have asthma, or severe chronic obstructive pulmonary disease (COPD), or a heart condition called ""AV block."""
14011,None
14012,None
14013,You should not use this medicine if you have a fungal or viral infection in your eyes (including herpes simplex).
14014,None
14015,None
14016,None
14017,None
14018,None
14019,None
14020,None
14021,None
14022,"Ofatumumab may cause a serious brain infection that can lead to disability or death. Call your doctor right away if you have problems with speech, thought, vision, or muscle movement."
14023,None
14024,None
14025,"Ofev can cause birth defects or death in an unborn baby. Avoid getting pregnant while you are using this medicine and for at least 3 months after your last dose. Use effective birth control, with an extra barrier method (condom, diaphragm, cervical cap, contraceptive sponge)."
14026,None
14027,None
14028,"Ofloxacin can cause serious side effects, including tendon problems, nerve damage, serious mood or behavior changes, or low blood sugar."
14029,None
14030,None
14031,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14032,None
14033,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14034,None
14035,None
14036,None
14037,"You should not use Ogen 1.25 if you have: undiagnosed vaginal bleeding, liver disease, if you will have major surgery, or if you have ever had a heart attack, a stroke, a blood clot, or cancer of the breast, uterus/cervix, or vagina."
14038,None
14039,None
14040,None
14041,None
14042,None
14043,None
14044,None
14045,None
14046,Do not use birth control pills if you are pregnant or if you have recently had a baby.
14047,"Do not use if you are pregnant. Use effective birth control, and tell your doctor if you become pregnant during treatment."
14048,None
14049,None
14050,Olanzapine is not approved for use in older adults with dementia-related psychosis.
14051,None
14052,None
14053,None
14054,"Olanzapine injection can cause symptoms of delirium (sudden severe confusion, disorientation, agitation, problems with speech or walking), or drowsiness severe enough for you to lapse into a coma. You will be watched closely for at least 3 hours after your injection, and you should not drive for the rest of the day."
14055,None
14056,None
14057,None
14058,"Olaparib affects your immune system. You may get infections more easily, even serious or fatal infections. Call your doctor if you have a fever, weakness, tiredness, trouble breathing, easy bruising or bleeding, blood in your urine or stools, or weight loss."
14059,None
14060,None
14061,"Olaratumab can cause an infusion reaction during the injection. Tell your caregiver right away if you feel dizzy, light-headed, chilled, flushed, feverish, or short of breath."
14062,None
14063,None
14064,None
14065,None
14066,None
14067,None
14068,None
14069,None
14070,None
14071,Do not use if you are pregnant. Stop using olmesartan and tell your doctor right away if you become pregnant.
14072,None
14073,None
14074,None
14075,None
14076,None
14077,None
14078,Olodaterol inhalation is for use only in people with chronic obstructive pulmonary disease (COPD) and should not be used to treat asthma.
14079,"You should not use  olodaterol and tiotropium if you are allergic to tiotropium, ipratropium, or olodaterol."
14080,None
14081,"Before using olopatadine nasal, tell your doctor if you have any non-allergic conditions affecting the inside of your nose, such as a deviated septum."
14082,None
14083,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14084,None
14085,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14086,"Olumiant affects your immune system. You may get infections more easily, even serious or fatal infections. Call your doctor if you have a fever, chills, aches, tiredness, cough, skin sores, diarrhea, weight loss, or burning when you urinate."
14087,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14088,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14089,None
14090,"If you have ever had hepatitis B, Olysio can cause this condition to come back or get worse. You will need frequent blood tests to check your liver function."
14091,"Omacetaxine can lower blood cells that help your body fight infections and help your blood to clot. You may get an infection or bleed more easily. Call your doctor if you have unusual bruising or bleeding, or signs of infection (fever, chills, swollen glands, cold or flu symptoms)."
14092,None
14093,None
14094,None
14095,None
14096,None
14097,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14098,None
14099,"Some people using omalizumab have had a severe, life-threatening allergic reaction either right after the injection or hours later. An allergic reaction may occur even after using omalizumab regularly for a year or longer."
14100,None
14101,None
14102,None
14103,None
14104,None
14105,You should not take  Omeclamox-Pak if you've ever had a severe allergic reaction to certain antibiotics.
14106,None
14107,None
14108,None
14109,None
14110,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14111,None
14112,None
14113,None
14114,None
14115,None
14116,None
14117,None
14118,Omeprazole is not for immediate relief of heartburn symptoms.
14119,None
14120,None
14121,None
14122,None
14123,None
14124,None
14125,"Omeprazole can cause kidney problems. Tell your doctor if you are urinating less than usual, or if you have blood in your urine."
14126,None
14127,None
14128,None
14129,"Omeprazole + SyrSpend SF Alka can cause kidney problems. Tell your doctor if you are urinating less than usual, or if you have blood in your urine."
14130,None
14131,None
14132,None
14133,None
14134,None
14135,None
14136,None
14137,"Do not take  Omnicef Omni-Pac if you are allergic to Omnicef Omni-Pac, or to similar antibiotics, such as Ceftin, Cefzil, Keflex, and others."
14138,"Follow all directions on the label and package, or use exactly as prescribed by your dentist or doctor."
14139,None
14140,None
14141,None
14142,None
14143,You should not use  Omnipen-N if you are allergic to any penicillin antibiotic.
14144,None
14145,You should not use  Omnipred if you have an eye infection (including herpes simplex).
14146,Omniscan can cause a life-threatening condition in people with advanced kidney disease. You should not receive this medication if you have kidney disease or if you are on dialysis.
14147,Omniscan Prefill Plus can cause a life-threatening condition in people with advanced kidney disease. You should not receive this medication if you have kidney disease or if you are on dialysis.
14148,None
14149,None
14150,None
14151,None
14152,The botulinum toxin contained in this medicine can spread to other body areas beyond where it was injected. This can cause serious life-threatening side effects.
14153,None
14154,None
14155,None
14156,None
14157,None
14158,None
14159,"This medicine can cause serious liver damage, especially in children who already have liver problems. Your doctor will perform blood tests to make sure your child does not have conditions that would make it unsafe to receive onasemnogene abeparvovec."
14160,"You should not use  Oncaspar if you are allergic to Oncaspar or asparaginase, if you have ever received asparaginase and it caused pancreatitis, severe bleeding, or a blood clot."
14161,"You should not use this medication if you have a nerve-muscle disorder, such as Charcot-Marie-Tooth syndrome, myasthenia gravis, ALS (Lou Gehrig's disease), multiple sclerosis, or muscular dystrophy."
14162,None
14163,None
14164,You should not use ondansetron if you are also using apomorphine (Apokyn).
14165,None
14166,None
14167,None
14168,None
14169,None
14170,None
14171,None
14172,None
14173,None
14174,None
14175,None
14176,None
14177,None
14178,None
14179,None
14180,None
14181,None
14182,None
14183,None
14184,None
14185,None
14186,None
14187,None
14188,None
14189,None
14190,None
14191,None
14192,None
14193,None
14194," Onexton can cause a rare but serious allergic reaction or severe skin irritation. Stop using this medicine and get emergency medical help if you have: hives, itching; difficult breathing, feeling light-headed; or swelling of your face, lips, tongue, or throat."
14195,None
14196,Some people have thoughts about suicide while taking Onfi. Stay alert to changes in your mood or symptoms. Report any new or worsening symptoms to your doctor.
14197,None
14198,None
14199,"Do not use Ongentys if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
14200,You should not use Onglyza if you are in a state of diabetic ketoacidosis (call your doctor for treatment with insulin).
14201,None
14202,"Serious and sometimes fatal infections may occur during treatment with  Onivyde. Seek medical attention right away if you have signs of infection such as: sudden weakness or ill feeling, fever, chills, confusion, shortness of breath, rapid heart rate, and severe dizziness or fainting."
14203,You should not take  Onmel if you have ever had heart failure.
14204,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14205,None
14206,None
14207,None
14208,"Do not use if you are pregnant. Use effective birth control, and tell your doctor if you become pregnant during treatment."
14209,None
14210,Both men and women using Onureg should use effective birth control to prevent pregnancy. Azacitidine can harm an unborn baby if the mother or father is using this medicine.
14211,"Get emergency medical help if you have signs of an allergic reaction: hives; difficult breathing; feeling like you might pass out; swelling of your face, lips, tongue, or throat."
14212,None
14213,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14214,None
14215,None
14216,None
14217,"MISUSE OF OPIOID MEDICINE CAN CAUSE ADDICTION, OVERDOSE, OR DEATH. Keep the medication in a place where others cannot get to it."
14218,None
14219,None
14220,None
14221, Opcicon One-Step will not terminate pregnancy if the fertilized egg has already attached to the uterus.
14222,"Follow all directions on your medicine label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14223,None
14224,"Opdivo can cause side effects in many different parts of your body. Some side effects may need to be treated with other medicine, and your cancer treatments may be delayed."
14225,None
14226,None
14227,None
14228,None
14229,None
14230,Avoid touching your eye until the numbing effects of  Ophthaine have worn off completely.
14231,"After surgery, call your doctor if you have vision problems, eye pain or redness, or increased sensitivity to light."
14232,Avoid touching your eye until the numbing effects of  Ophthetic have worn off completely.
14233,None
14234,None
14235,"Do not use  opicapone if you have used an MAO inhibitor in the past 14 days, such as isocarboxazid, linezolid, methylene blue injection, phenelzine, rasagiline, selegiline, or tranylcypromine."
14236,None
14237,Do not use  Opium Deodorized if the safety seal on the cap is broken or missing.
14238,Do not use  opium preparation if the safety seal on the cap is broken or missing.
14239,None
14240,None
14241,None
14242,None
14243,None
14244,None
14245,Opti-Clear is for temporary relief of minor eye redness or discomfort caused by minor irritants.
14246,None
14247,"Follow all directions on the product label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14248,"Follow all directions on the product label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14249,"Follow all directions on the product label and package. Tell each of your healthcare providers about all your medical conditions, allergies, and all medicines you use."
14250,You should not use an Opti-Free Rewetting Drops to treat or prevent an eye infection.
14251,Optigene 3 is for temporary relief of minor eye redness or discomfort caused by minor irritants.
